feature,or,ci_lower,ci_upper,p_value,adjusted_p_value
Generalized pain,1.464,0.477,4.491,0.505,0.8415928038613427
"Coronary atherosclerosis of unspecified type of vessel, native or graft",1.047,0.914,1.2,0.506,0.842519947391495
"Colitis, enteritis, and gastroenteritis of presumed infectious origin",0.611,0.143,2.611,0.506,0.842519947391495
"Volume depletion, unspecified",0.909,0.687,1.204,0.507,0.8427072210065645
Respiratory syncytial virus as the cause of diseases classified elsewhere,0.647,0.178,2.347,0.507,0.8427072210065645
"Other osteoporosis with current pathological fracture, left humerus, initial encounter for fracture",0.566,0.106,3.033,0.507,0.8427072210065645
"Sepsis following a procedure, initial encounter",0.546,0.091,3.271,0.507,0.8427072210065645
Complications of stem cell transplant,1.259,0.636,2.495,0.509,0.8432679965307892
Open fracture of lower end of radius with ulna,0.589,0.122,2.839,0.509,0.8432679965307892
NIHSS score 6,0.54,0.087,3.358,0.509,0.8432679965307892
"Other fracture of right femur, initial encounter for closed fracture",0.531,0.081,3.474,0.509,0.8432679965307892
Herpetic whitlow,0.5,0.064,3.923,0.509,0.8432679965307892
"Driver of other special all-terrain or other off-road motor vehicle injured in traffic accident, initial encounter",1.317,0.58,2.994,0.51,0.8432679965307892
Cellulitis and abscess of oral soft tissues,0.589,0.122,2.847,0.51,0.8432679965307892
"Fall from other furniture, subsequent encounter",0.553,0.095,3.214,0.51,0.8432679965307892
Other specified mononeuropathies of left upper limb,0.507,0.067,3.827,0.51,0.8432679965307892
"Injury to spleen without mention of open wound into cavity, massive parenchymal disruption",0.506,0.066,3.851,0.51,0.8432679965307892
"Chronic ischemic heart disease, unspecified",0.68,0.215,2.147,0.511,0.8432679965307892
"Other specified pervasive developmental disorders, current or active state",0.583,0.116,2.919,0.511,0.8432679965307892
Unspecified asthma with status asthmaticus,0.577,0.112,2.976,0.511,0.8432679965307892
"Contact with hot saucepan or skillet, initial encounter",0.526,0.077,3.582,0.511,0.8432679965307892
"Displaced fracture of neck of scapula, right shoulder, initial encounter for closed fracture",1.622,0.382,6.89,0.512,0.8432679965307892
"Stress incontinence, female",1.249,0.643,2.429,0.512,0.8432679965307892
Presence of aortocoronary bypass graft,0.964,0.863,1.076,0.512,0.8432679965307892
"Strain of unspecified muscle(s) and tendon(s) at lower leg level, right leg, initial encounter",0.571,0.107,3.046,0.512,0.8432679965307892
Problems related to release from prison,0.553,0.094,3.243,0.512,0.8432679965307892
"Injury, unspecified, initial encounter",0.526,0.077,3.584,0.512,0.8432679965307892
Abdominal aortic ectasia,0.503,0.064,3.928,0.512,0.8432679965307892
Other functional disorder of bladder,0.596,0.127,2.806,0.513,0.8438172368990906
Cystic disease of liver,0.564,0.101,3.14,0.513,0.8438172368990906
"Bacterial meningoencephalitis and meningomyelitis, not elsewhere classified",0.561,0.099,3.175,0.513,0.8438172368990906
Autonomic dysreflexia,0.604,0.132,2.756,0.515,0.8467402597402598
"Other intra-abdominal and pelvic swelling, mass and lump",0.669,0.199,2.248,0.516,0.8480173085244483
Encounter for planned postprocedural wound closure,0.61,0.137,2.715,0.517,0.8492932525951556
"Graft-versus-host disease, unspecified",0.763,0.335,1.736,0.518,0.850568093385214
Coronary artery dissection,1.266,0.618,2.594,0.519,0.8518418323249783
Gastroptosis,0.874,0.579,1.318,0.52,0.8523780750971083
"Hypertensive retinopathy, left eye",0.584,0.114,3.003,0.52,0.8523780750971083
Exercise induced bronchospasm,0.564,0.099,3.228,0.52,0.8523780750971083
Chylocele of tunica vaginalis,0.662,0.187,2.343,0.522,0.8549184993531695
Beta thalassemia,0.541,0.083,3.543,0.522,0.8549184993531695
Infection with microorganisms resistant to penicillins,0.839,0.489,1.438,0.523,0.8550813603099441
Fistula of stomach and duodenum,0.61,0.134,2.784,0.523,0.8550813603099441
Other specified disorders of urethra,0.574,0.105,3.151,0.523,0.8550813603099441
Persistent cloaca,0.509,0.064,4.053,0.523,0.8550813603099441
Acquired absence of bilateral breasts and nipples,0.909,0.679,1.218,0.524,0.8556113499570078
Laryngeal spasm,0.58,0.108,3.107,0.524,0.8556113499570078
Explosive personality disorder,0.56,0.094,3.336,0.524,0.8556113499570078
"Embolism due to cardiac prosthetic devices, implants and grafts, initial encounter",1.241,0.638,2.413,0.525,0.8557272338606242
Amnestic disorder due to known physiological condition,0.616,0.139,2.739,0.525,0.8557272338606242
Contact with and (suspected) exposure to viral hepatitis,0.606,0.129,2.837,0.525,0.8557272338606242
Accidental puncture or laceration of dura during a procedure,1.462,0.452,4.724,0.526,0.8557272338606242
Streptococcus pneumoniae as the cause of diseases classified elsewhere,0.89,0.621,1.276,0.526,0.8557272338606242
"Conduction disorder, unspecified",0.669,0.193,2.318,0.526,0.8557272338606242
Personal history of other malignant neoplasm of thymus,0.585,0.112,3.07,0.526,0.8557272338606242
Binge eating disorder,0.516,0.067,3.976,0.526,0.8557272338606242
Resistance to other specified beta lactam antibiotics,0.686,0.214,2.202,0.527,0.8557272338606242
Unspecified iridocyclitis,0.56,0.093,3.376,0.527,0.8557272338606242
Phenothiazine-based tranquilizers causing adverse effects in therapeutic use,0.548,0.085,3.54,0.527,0.8557272338606242
"Ocular pain, unspecified eye",0.546,0.084,3.553,0.527,0.8557272338606242
Slow transit constipation,0.519,0.068,3.958,0.527,0.8557272338606242
Nontraumatic compartment syndrome of lower extremity,0.648,0.169,2.493,0.528,0.8567769722814499
Pneumonia in diseases classified elsewhere,1.467,0.445,4.832,0.529,0.8567769722814499
"Ototoxic hearing loss, unspecified ear",1.435,0.466,4.42,0.529,0.8567769722814499
Personal history of other diseases of the circulatory system,0.73,0.275,1.942,0.529,0.8567769722814499
"Neoplasm of uncertain behavior of digestive organ, unspecified",0.605,0.126,2.899,0.529,0.8567769722814499
"Laceration with foreign body, right lower leg, initial encounter",0.594,0.117,3.009,0.529,0.8567769722814499
"Follicular disorder, unspecified",0.558,0.09,3.444,0.53,0.8580306905370845
"Other localized visual field defect, unspecified eye",0.593,0.114,3.08,0.534,0.8637700170357752
Abscess of prostate,0.573,0.099,3.318,0.534,0.8637700170357752
"Other physeal fracture of lower end of ulna, left arm, initial encounter for closed fracture",0.591,0.112,3.11,0.535,0.8650191570881227
Long term (current) use of hormonal contraceptives,1.074,0.857,1.346,0.536,0.865530612244898
Chronic or unspecified duodenal ulcer with perforation,0.722,0.258,2.022,0.536,0.865530612244898
"Blister (nonthermal), right great toe, initial encounter",0.603,0.122,2.992,0.536,0.865530612244898
"Arthritis due to other bacteria, unspecified knee",1.24,0.627,2.455,0.537,0.8658152542372882
Toxic encephalopathy,1.063,0.875,1.291,0.537,0.8658152542372882
"Fracture of orbital floor, left side, initial encounter for closed fracture",0.494,0.053,4.635,0.537,0.8658152542372882
"Unspecified open wound of left lesser toe(s) without damage to nail, initial encounter",1.614,0.352,7.4,0.538,0.8658152542372882
Acquired absence of unspecified foot,0.834,0.467,1.487,0.538,0.8658152542372882
Other retroperitoneal abscess,0.694,0.217,2.218,0.538,0.8658152542372882
"Displaced fracture of proximal third of navicular [scaphoid] bone of left wrist, initial encounter for closed fracture",0.575,0.099,3.348,0.538,0.8658152542372882
Other mitochondrial metabolism disorders,0.545,0.079,3.761,0.538,0.8658152542372882
Nephrotic syndrome with lesion of membranous glomerulonephritis,1.681,0.321,8.803,0.539,0.8663233178163352
"Unilateral inguinal hernia, with obstruction, without gangrene, not specified as recurrent",0.737,0.277,1.956,0.539,0.8663233178163352
"Sedative, hypnotic, or anxiolytic use, unspecified, uncomplicated",0.601,0.119,3.052,0.539,0.8663233178163352
Dieulafoy lesion (hemorrhagic) of stomach and duodenum,0.731,0.267,1.997,0.541,0.8688025369978858
Urethral false passage,0.623,0.137,2.834,0.541,0.8688025369978858
Occlusion and stenosis of basilar artery without mention of cerebral infarction,0.655,0.168,2.554,0.542,0.8693057432432433
"Abdominal pain, periumbilic",0.583,0.103,3.31,0.542,0.8693057432432433
Moyamoya disease,0.57,0.093,3.479,0.542,0.8693057432432433
Secondary malignant neoplasm of large intestine and rectum,0.855,0.516,1.417,0.543,0.8701746835443039
"Hallucinogen use, unspecified with unspecified hallucinogen-induced disorder",0.61,0.124,3.0,0.543,0.8701746835443039
Alcoholic cirrhosis of liver,1.062,0.875,1.287,0.544,0.8714095318431042
Thyrotoxicosis of other specified origin without mention of thyrotoxic crisis or storm,1.404,0.467,4.221,0.545,0.8719081718618367
Occlusion and stenosis of bilateral anterior cerebral arteries,0.586,0.104,3.305,0.545,0.8719081718618367
"Other, mixed, or unspecified drug abuse, continuous",0.552,0.081,3.777,0.545,0.8719081718618367
"Malignant neoplasm of larynx, unspecified",0.639,0.149,2.733,0.546,0.8727727272727273
Acute post-thoracotomy pain,0.62,0.131,2.93,0.546,0.8727727272727273
"Cyclical vomiting, in migraine, not intractable",0.619,0.13,2.95,0.547,0.87363582842725
"Combinations of opioid type drug with any other drug dependence, unspecified",0.495,0.05,4.867,0.547,0.87363582842725
Mild protein-calorie malnutrition,1.204,0.657,2.208,0.548,0.8737632241813602
Agoraphobia without panic disorder,0.595,0.109,3.236,0.548,0.8737632241813602
"Panniculitis, other site",0.567,0.089,3.61,0.548,0.8737632241813602
Right aortic arch,0.565,0.088,3.634,0.548,0.8737632241813602
Diseases of lips,0.569,0.09,3.591,0.549,0.8738901927912825
Unspecified nephritic syndrome with diffuse mesangiocapillary glomerulonephritis,0.564,0.087,3.676,0.549,0.8738901927912825
"Fracture of orbital floor, sequela",0.552,0.079,3.854,0.549,0.8738901927912825
Other intraoperative complications of nervous system,0.47,0.04,5.549,0.549,0.8738901927912825
"Gastrojejunal ulcer, unspecified as acute or chronic, without mention of hemorrhage or perforation, without mention of obstruction",0.604,0.115,3.18,0.551,0.8763391959798995
"Localized connective tissue disorder, unspecified",0.569,0.089,3.63,0.551,0.8763391959798995
"Accidental discharge from unspecified firearms or gun, subsequent encounter",2.218,0.161,30.649,0.552,0.877194979079498
Acute recurrent streptococcal tonsillitis,0.62,0.128,2.994,0.552,0.877194979079498
Family history of other lymphatic and hematopoietic neoplasms,0.813,0.411,1.609,0.553,0.8776824070204765
"Puncture wound without foreign body of left cheek and temporomandibular area, initial encounter",0.591,0.104,3.364,0.553,0.8776824070204765
Toxic effect of ethyl alcohol,0.581,0.097,3.484,0.553,0.8776824070204765
Polyp of stomach and duodenum,0.856,0.512,1.432,0.554,0.8785352818371608
Unspecified disorder of esophagus,0.567,0.086,3.72,0.554,0.8785352818371608
Unspecified circulatory system disorder,0.623,0.129,3.0,0.555,0.8797537562604342
"Paranoid state, simple",0.681,0.19,2.443,0.556,0.880603836530442
Other atopic dermatitis,0.601,0.11,3.279,0.556,0.880603836530442
Cerebral atherosclerosis,1.106,0.79,1.55,0.558,0.8821567814184986
"Polyosteoarthritis, unspecified",0.631,0.135,2.95,0.558,0.8821567814184986
"Osteoarthrosis, localized, not specified whether primary or secondary, ankle and foot",0.572,0.088,3.7,0.558,0.8821567814184986
Chronic drug-induced interstitial lung disorders,0.73,0.255,2.095,0.559,0.8821567814184986
Palmar fascial fibromatosis [Dupuytren],0.613,0.118,3.169,0.559,0.8821567814184986
"Other fracture of right lower leg, initial encounter for open fracture type IIIA, IIIB, or IIIC",0.588,0.099,3.494,0.559,0.8821567814184986
"Contusion of right elbow, initial encounter",0.585,0.097,3.539,0.559,0.8821567814184986
"Open wound of tongue and floor of mouth, without mention of complication",1.46,0.408,5.221,0.56,0.8821567814184986
"Laceration without foreign body of unspecified hand, initial encounter",0.731,0.255,2.094,0.56,0.8821567814184986
Megalencephaly,0.661,0.165,2.654,0.56,0.8821567814184986
Erosive (osteo)arthritis,0.631,0.134,2.967,0.56,0.8821567814184986
Orthopnea,0.606,0.113,3.266,0.56,0.8821567814184986
Other specified diseases of nail,0.592,0.102,3.452,0.56,0.8821567814184986
Other glycogen storage disease,0.66,0.163,2.675,0.561,0.8829995855781186
Accidental poisoning by benzodiazepine-based tranquilizers,0.476,0.039,5.794,0.561,0.8829995855781186
Esophageal varices with bleeding,1.598,0.327,7.798,0.562,0.8834751655629139
"Herpesviral infection, unspecified",1.348,0.491,3.695,0.562,0.8834751655629139
"Nondisplaced pilon fracture of left tibia, initial encounter for closed fracture",0.702,0.213,2.318,0.562,0.8834751655629139
"Diffuse large B-cell lymphoma, intrathoracic lymph nodes",0.538,0.066,4.406,0.563,0.8846810095159288
Coronary atherosclerosis of artery bypass graft,0.614,0.117,3.221,0.564,0.8858858560794044
"Other incomplete lesion at C2 level of cervical spinal cord, initial encounter",0.593,0.1,3.511,0.565,0.8870897064902851
"Arthropathy, unspecified, shoulder region",0.602,0.107,3.399,0.566,0.8879256505576207
Aneurysm of other specified artery,0.528,0.059,4.688,0.566,0.8879256505576207
Low bladder compliance,0.651,0.15,2.822,0.567,0.8891271676300577
Deficiency of other specified B group vitamins,0.938,0.752,1.169,0.568,0.8892267106347898
"Profound impairment, one eye, impairment level not further specified",0.864,0.524,1.426,0.568,0.8892267106347898
Skeletal muscle relaxants causing adverse effects in therapeutic use,0.582,0.091,3.732,0.568,0.8892267106347898
"Minor laceration of liver, initial encounter",0.485,0.041,5.803,0.568,0.8892267106347898
Allergy to seafood,0.589,0.095,3.636,0.569,0.89042521631644
"Dysphagia, pharyngoesophageal phase",0.597,0.101,3.542,0.57,0.8912556607657471
"Laceration without foreign body of unspecified ear, initial encounter",0.564,0.078,4.064,0.57,0.8912556607657471
Other genital herpes,0.583,0.09,3.771,0.571,0.8924518518518517
Atherosclerosis of renal artery,1.123,0.752,1.676,0.572,0.8925456039441249
"Developmental disorder of scholastic skills, unspecified",0.746,0.27,2.06,0.572,0.8925456039441249
"Diffuse large B-cell lymphoma, intra-abdominal lymph nodes",0.631,0.127,3.126,0.572,0.8925456039441249
Antilipemic and antiarteriosclerotic drugs causing adverse effects in therapeutic use,0.597,0.1,3.559,0.572,0.8925456039441249
Calculus of gallbladder with other cholecystitis without obstruction,0.878,0.558,1.382,0.574,0.8945638079606072
Antirheumatics [antiphlogistics] causing adverse effects in therapeutic use,0.638,0.133,3.06,0.574,0.8945638079606072
Other drug induced dystonia,0.567,0.078,4.101,0.574,0.8945638079606072
Degenerative skin disorders,1.47,0.382,5.652,0.575,0.8953874538745387
Dressler's syndrome,0.569,0.079,4.085,0.575,0.8953874538745387
"Demyelinating disease of central nervous system, unspecified",0.622,0.118,3.29,0.576,0.8965770491803278
Person feigning illness,0.628,0.123,3.213,0.577,0.8977656698074559
"Infection following immunization, initial encounter",0.706,0.207,2.409,0.578,0.8985853458862054
"Displaced bimalleolar fracture of left lower leg, initial encounter for open fracture type I or II",0.564,0.075,4.25,0.578,0.8985853458862054
Lymphocytosis (symptomatic),0.586,0.089,3.866,0.579,0.8994855042874642
Postmenopausal atrophic vaginitis,1.416,0.413,4.861,0.58,0.8994855042874642
Encounter for checking and testing of cardiac pacemaker pulse generator [battery],0.91,0.651,1.272,0.58,0.8994855042874642
Other nonspecific abnormal results of function study of cardiovascular system,0.64,0.132,3.107,0.58,0.8994855042874642
Other dental caries,0.587,0.089,3.876,0.58,0.8994855042874642
Edema of left orbit,0.571,0.078,4.152,0.58,0.8994855042874642
"Benign neoplasm of brain, unspecified",1.541,0.332,7.156,0.581,0.8999339314845024
